sample	genID
VA418_2022	blaSHV-11
VA418_2022	blaACT-6
VA418_2022	blaACT-5
VA418_2022	blaVIM-1
VA418_2022	blaNDM-1
VA418_2022	blaSHV-148
VA418_2022	blaSHV-190
VA418_2022	blaNDM-7
VA418_2022	blaKPC-2
VA418_2022	blaACT-15
VA418_2022	blaACT-10
VA418_2022	blaSHV-2a
VA418_2022	blaVIM-2
VA418_2022	blaKPC-3
VA418_2022	blaACT-16
VA418_2022	blaSHV-110
VA418_2022	blaSHV-40
VA418_2022	blaSHV-27
VA418_2022	blaACT-7
VA418_2022	blaSHV-1
VA418_2022	blaSHV-81
VA418_2022	blaACT-14
VA418_2022	blaSHV-158
VA1101_2021	blaSHV-11
VA1101_2021	blaACT-6
VA1101_2021	blaACT-5
VA1101_2021	blaVIM-1
VA1101_2021	blaNDM-1
VA1101_2021	blaSHV-148
VA1101_2021	blaSHV-190
VA1101_2021	blaNDM-7
VA1101_2021	blaKPC-2
VA1101_2021	blaACT-15
VA1101_2021	blaACT-10
VA1101_2021	blaSHV-2a
VA1101_2021	blaVIM-2
VA1101_2021	blaKPC-3
VA1101_2021	blaACT-16
VA1101_2021	blaSHV-110
VA1101_2021	blaSHV-40
VA1101_2021	blaSHV-27
VA1101_2021	blaACT-7
VA1101_2021	blaSHV-1
VA1101_2021	blaSHV-81
VA1101_2021	blaACT-14
VA1101_2021	blaSHV-158
VA2067_2020	blaSHV-11
VA2067_2020	blaACT-6
VA2067_2020	blaACT-5
VA2067_2020	blaVIM-1
VA2067_2020	blaNDM-1
VA2067_2020	blaSHV-148
VA2067_2020	blaSHV-190
VA2067_2020	blaNDM-7
VA2067_2020	blaKPC-2
VA2067_2020	blaACT-15
VA2067_2020	blaACT-10
VA2067_2020	blaSHV-2a
VA2067_2020	blaVIM-2
VA2067_2020	blaKPC-3
VA2067_2020	blaACT-16
VA2067_2020	blaSHV-110
VA2067_2020	blaSHV-40
VA2067_2020	blaSHV-27
VA2067_2020	blaACT-7
VA2067_2020	blaSHV-1
VA2067_2020	blaSHV-81
VA2067_2020	blaACT-14
VA2067_2020	blaSHV-158
